-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/15/2014 through 04/15/2024 
Location: Latitude  21.1575   Longitude 79.0818 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,PS,WS10M
2014,7,13,32.62,26.21,9.72,75.12,96.76,4.66
2014,7,14,32.04,25.65,11.34,78.0,96.71,4.88
2014,7,15,30.96,24.65,73.92,86.5,96.57,5.1
2014,7,16,32.12,24.48,33.04,83.88,96.62,5.56
2014,7,17,33.52,24.54,4.62,77.75,96.74,5.77
2014,7,18,31.88,25.4,9.1,82.25,96.79,5.51
2014,7,19,31.28,24.75,15.57,83.31,96.75,6.16
2014,7,20,30.23,24.01,18.51,81.38,96.79,7.98
2014,7,21,28.59,24.28,30.57,84.69,96.78,7.19
2014,7,22,26.29,23.91,145.16,91.06,96.61,9.93
2014,7,23,28.53,22.54,15.1,85.25,96.52,11.43
2014,7,24,27.62,21.69,0.63,82.81,97.02,5.34
2014,7,25,30.83,22.34,0.25,80.0,97.22,3.79
2014,7,26,31.34,23.69,13.82,81.44,97.31,3.59
2014,7,27,28.76,23.94,12.7,88.56,97.16,5.69
2014,7,28,29.16,24.58,5.91,89.5,96.87,3.1
2014,7,29,29.54,24.51,1.87,86.12,96.9,3.08
2014,7,30,30.19,23.73,2.05,85.94,96.89,2.48
2014,7,31,29.43,24.39,1.56,87.5,96.9,2.89
2014,8,1,31.5,24.08,1.31,83.12,96.89,3.86
2014,8,2,30.67,24.51,0.93,83.0,96.98,4.76
2014,8,3,30.42,24.44,0.94,84.06,96.91,4.58
2014,8,4,28.82,24.24,5.85,88.44,96.77,5.48
2014,8,5,27.4,23.72,14.47,91.0,96.71,6.77
2014,8,6,31.02,23.3,2.1,82.69,96.89,6.34
2014,8,7,30.42,23.3,0.17,82.81,96.99,5.02
2014,8,8,30.94,23.4,0.01,81.56,97.08,4.15
2014,8,9,30.51,23.91,0.6,82.06,97.22,3.46
2014,8,10,28.84,23.86,6.81,85.75,97.26,4.25
2014,8,11,30.74,23.23,2.88,84.5,97.15,4.3
2014,8,12,30.2,23.44,1.06,84.25,97.19,4.16
2014,8,13,31.62,23.44,1.26,82.69,97.22,4.57
2014,8,14,31.45,23.83,0.68,82.0,97.25,4.65
2014,8,15,31.05,23.57,0.24,81.56,97.34,3.98
2014,8,16,29.78,23.64,0.55,81.56,97.45,3.39
2014,8,17,31.48,22.65,1.58,79.44,97.42,3.07
2014,8,18,32.13,22.96,1.5,75.56,97.54,1.69
2014,8,19,32.68,24.16,0.15,75.38,97.58,1.31
2014,8,20,32.11,24.42,0.06,79.88,97.44,2.27
2014,8,21,30.61,25.0,36.7,81.69,97.26,1.78
2014,8,22,31.01,23.71,58.07,85.25,97.29,1.98
2014,8,23,29.86,23.94,14.28,86.81,97.45,2.12
2014,8,24,30.29,24.12,0.01,84.38,97.48,2.11
2014,8,25,30.4,23.86,4.76,84.75,97.51,1.17
2014,8,26,31.37,23.93,0.62,79.0,97.38,1.61
2014,8,27,31.24,23.73,8.52,82.25,97.21,2.3
2014,8,28,29.22,24.44,6.55,90.19,97.14,2.33
2014,8,29,31.35,24.82,2.03,85.56,96.97,2.78
2014,8,30,29.88,24.37,1.75,86.5,96.82,2.89
2014,8,31,28.4,24.35,12.56,91.56,96.49,3.7
2014,9,1,28.76,24.11,4.93,89.19,96.5,4.66
2014,9,2,29.2,23.04,3.27,87.12,96.87,5.38
2014,9,3,29.17,22.9,1.16,86.56,97.24,3.38
2014,9,4,30.85,23.47,0.51,83.44,97.23,3.8
2014,9,5,29.56,23.46,0.84,86.31,97.19,3.29
2014,9,6,28.44,23.37,21.61,89.75,97.14,4.36
2014,9,7,27.85,23.15,45.72,93.06,96.8,5.21
2014,9,8,29.76,21.89,24.35,88.94,96.85,3.86
2014,9,9,27.25,21.34,6.8,88.94,97.09,5.29
2014,9,10,29.65,23.03,0.75,87.75,97.14,4.92
2014,9,11,27.19,23.23,30.69,91.56,97.38,3.99
2014,9,12,28.81,23.43,12.84,90.0,97.47,4.09
2014,9,13,28.73,23.44,12.84,90.56,97.4,3.34
2014,9,14,29.86,23.52,5.62,88.31,97.35,2.76
2014,9,15,30.29,23.72,2.19,86.69,97.28,3.07
2014,9,16,31.15,22.78,0.69,83.69,97.16,3.33
2014,9,17,31.44,23.12,0.1,83.56,97.15,3.49
2014,9,18,31.52,22.87,0.78,83.75,97.27,3.67
2014,9,19,30.58,23.64,1.07,86.75,97.29,3.68
2014,9,20,28.37,24.13,4.42,90.38,97.22,2.12
2014,9,21,31.3,22.9,0.37,84.25,97.33,3.22
2014,9,22,29.24,22.65,0.03,85.31,97.55,2.35
2014,9,23,31.5,21.36,0.0,80.06,97.59,2.65
2014,9,24,31.01,20.37,0.0,76.44,97.69,2.1
2014,9,25,31.15,19.75,0.0,72.5,97.8,1.52
2014,9,26,31.19,20.01,0.0,71.06,97.91,1.55
2014,9,27,31.3,21.02,0.08,72.56,97.98,0.98
2014,9,28,31.32,20.98,0.01,70.88,98.01,1.09
2014,9,29,30.89,21.53,0.0,69.75,97.98,0.86
2014,9,30,31.63,20.7,0.0,70.25,97.94,1.1
2014,10,1,31.42,20.67,0.0,74.31,97.97,1.7
2014,10,2,31.15,20.85,0.0,77.19,97.92,2.02
2014,10,3,31.37,21.98,0.0,76.25,97.8,1.65
2014,10,4,31.23,22.27,0.31,77.44,97.85,1.91
2014,10,5,31.51,21.11,0.03,78.0,97.9,1.99
2014,10,6,30.44,21.41,0.05,82.25,97.88,1.89
2014,10,7,29.87,21.8,1.29,84.62,97.71,2.09
2014,10,8,29.62,21.54,0.37,82.75,97.76,1.91
2014,10,9,30.3,21.58,0.01,79.5,97.76,1.77
2014,10,10,31.31,22.06,0.0,79.88,97.62,3.02
2014,10,11,31.23,20.4,0.0,74.62,97.52,4.25
2014,10,12,30.29,17.51,2.21,73.12,97.35,5.47
2014,10,13,27.6,22.1,8.0,84.31,96.97,6.7
2014,10,14,30.71,20.43,1.51,80.38,97.66,2.4
2014,10,15,29.98,22.04,0.72,82.25,98.1,1.52
2014,10,16,30.48,21.14,0.7,82.06,98.08,2.11
2014,10,17,30.44,20.84,0.0,81.69,98.09,2.02
2014,10,18,29.8,20.45,0.16,80.56,98.03,2.2
2014,10,19,30.54,20.01,0.01,77.69,98.03,1.55
2014,10,20,30.4,20.94,0.99,76.69,98.08,1.43
2014,10,21,30.83,20.15,0.03,74.69,98.21,2.44
2014,10,22,30.69,17.3,0.0,70.94,98.29,2.7
2014,10,23,30.47,16.7,0.0,66.19,98.16,2.0
2014,10,24,28.4,17.58,0.0,67.38,98.07,1.52
2014,10,25,27.23,18.71,1.63,79.69,98.12,1.67
2014,10,26,25.94,18.24,1.35,83.56,98.31,1.6
2014,10,27,26.49,18.04,0.32,75.56,98.28,0.93
2014,10,28,29.26,16.79,0.0,67.38,98.14,1.47
2014,10,29,29.99,16.67,0.0,66.81,98.17,1.78
2014,10,30,30.84,16.58,0.0,67.75,98.09,1.64
2014,10,31,30.73,17.4,0.0,69.56,98.06,1.72
2014,11,1,31.9,17.53,0.0,69.44,98.06,2.44
2014,11,2,32.11,17.8,0.0,67.19,98.16,2.57
2014,11,3,31.51,15.97,0.0,65.75,98.15,2.68
2014,11,4,32.0,15.39,0.0,61.5,98.04,2.24
2014,11,5,32.3,16.87,0.0,62.81,98.02,2.13
2014,11,6,32.72,17.08,0.0,62.69,97.92,2.99
2014,11,7,31.86,15.26,0.0,59.56,98.01,3.04
2014,11,8,31.5,14.48,0.0,61.25,98.13,3.46
2014,11,9,30.69,15.7,0.0,66.06,98.16,3.61
2014,11,10,31.84,18.55,0.0,71.81,98.06,2.42
2014,11,11,31.79,19.54,0.08,74.12,98.01,2.13
2014,11,12,32.01,19.85,0.01,75.94,98.09,2.45
2014,11,13,30.3,20.05,0.0,74.94,98.25,2.65
2014,11,14,32.03,19.21,0.6,70.25,98.29,1.73
2014,11,15,32.69,21.07,0.36,65.0,98.13,1.12
2014,11,16,31.54,19.73,0.39,69.81,98.11,2.0
2014,11,17,29.52,18.27,0.01,63.69,98.21,2.84
2014,11,18,30.62,14.89,0.0,53.75,98.35,2.8
2014,11,19,30.73,11.71,0.0,54.38,98.34,2.3
2014,11,20,30.84,13.81,0.0,53.81,98.23,1.65
2014,11,21,30.88,14.07,0.0,54.75,98.14,1.3
2014,11,22,31.14,14.79,0.0,54.0,98.06,1.52
2014,11,23,30.81,13.95,0.0,57.94,98.13,1.71
2014,11,24,30.39,13.33,0.0,59.38,98.21,2.27
2014,11,25,31.05,13.33,0.0,59.69,98.16,1.97
2014,11,26,31.65,13.28,0.0,51.44,97.92,1.81
2014,11,27,31.9,14.17,0.0,49.06,97.94,1.41
2014,11,28,32.07,13.2,0.0,52.62,98.07,1.67
2014,11,29,31.85,13.98,0.0,51.69,98.12,1.95
2014,11,30,31.58,15.42,0.0,47.06,98.14,1.66
2014,12,1,31.77,13.9,0.0,52.44,98.14,2.68
2014,12,2,31.79,13.38,0.0,53.0,98.17,2.15
2014,12,3,32.14,12.93,0.0,41.94,98.15,2.86
2014,12,4,31.44,12.63,0.0,41.88,98.19,2.99
2014,12,5,31.36,12.25,0.0,47.56,98.29,2.81
2014,12,6,31.24,12.51,0.0,47.06,98.27,2.83
2014,12,7,31.23,11.98,0.0,46.44,98.18,2.41
2014,12,8,31.15,11.87,0.0,50.5,98.18,2.34
2014,12,9,31.5,12.26,0.0,51.25,98.24,2.38
2014,12,10,31.26,12.89,0.0,55.69,98.2,2.52
2014,12,11,29.53,14.5,0.0,55.94,98.25,3.38
2014,12,12,27.68,15.18,0.74,59.62,98.28,3.0
2014,12,13,26.1,15.44,0.18,73.56,98.26,2.57
2014,12,14,26.93,17.69,1.0,74.88,98.19,2.36
2014,12,15,28.28,15.33,0.18,64.19,98.27,1.97
2014,12,16,27.29,10.73,0.0,39.81,98.53,4.01
2014,12,17,26.3,8.52,0.0,41.69,98.59,3.84
2014,12,18,26.58,8.07,0.0,48.5,98.61,3.24
2014,12,19,26.69,8.16,0.0,51.31,98.67,3.09
2014,12,20,24.31,10.19,0.0,43.75,98.43,2.2
2014,12,21,28.54,9.65,0.0,44.19,98.21,2.54
2014,12,22,28.95,9.06,0.0,54.0,98.19,2.77
2014,12,23,29.19,9.39,0.0,52.81,98.23,2.22
2014,12,24,29.98,9.82,0.0,52.38,98.36,2.49
2014,12,25,29.24,10.27,0.0,49.75,98.37,2.09
2014,12,26,28.3,10.83,0.0,43.81,98.23,3.21
2014,12,27,26.86,8.81,0.0,38.69,98.32,2.81
2014,12,28,26.61,7.82,0.0,39.5,98.37,3.15
2014,12,29,27.42,7.6,0.0,39.31,98.14,2.73
2014,12,30,29.45,9.16,0.0,49.12,97.88,2.84
2014,12,31,30.09,14.06,0.74,68.12,97.83,5.36
2015,1,1,29.4,16.78,3.46,73.69,97.81,3.99
2015,1,2,29.19,15.76,6.91,74.19,98.04,2.28
2015,1,3,22.83,17.86,6.55,85.88,98.23,2.62
2015,1,4,27.63,14.68,0.19,70.56,98.35,3.95
2015,1,5,26.63,10.01,0.0,57.81,98.35,3.17
2015,1,6,27.35,8.34,0.0,43.56,98.29,1.91
2015,1,7,27.97,9.9,0.0,43.56,98.16,1.9
2015,1,8,27.28,9.44,0.0,50.31,98.28,3.34
2015,1,9,26.21,8.05,0.0,49.25,98.49,2.99
2015,1,10,27.55,7.23,0.0,43.5,98.47,2.55
2015,1,11,27.9,7.48,0.0,42.5,98.46,3.17
2015,1,12,28.32,7.18,0.0,43.31,98.38,2.37
2015,1,13,28.1,8.02,0.0,40.12,98.27,2.16
2015,1,14,28.9,8.73,0.0,38.12,98.19,1.68
2015,1,15,28.4,9.12,0.0,42.0,98.28,2.26
2015,1,16,28.61,9.12,0.0,45.31,98.33,2.09
2015,1,17,28.0,10.1,0.0,45.75,98.4,3.19
2015,1,18,27.95,9.04,0.0,38.12,98.41,2.45
2015,1,19,28.44,9.19,0.0,36.5,98.38,3.23
2015,1,20,28.64,9.09,0.0,42.38,98.46,3.16
2015,1,21,28.85,11.6,0.0,45.0,98.64,3.48
2015,1,22,29.1,12.41,0.02,48.06,98.52,3.0
2015,1,23,29.61,15.4,0.34,46.75,98.33,2.28
2015,1,24,29.55,15.24,0.26,54.44,98.4,2.92
2015,1,25,31.2,15.65,0.01,48.88,98.4,3.5
2015,1,26,29.94,16.48,0.01,49.12,98.3,3.24
2015,1,27,30.98,16.67,0.02,45.06,98.21,2.32
2015,1,28,30.65,14.87,0.32,49.94,98.1,1.84
2015,1,29,29.98,14.4,0.46,58.94,98.23,2.49
2015,1,30,28.98,14.27,0.0,45.94,98.49,3.79
2015,1,31,29.87,9.77,0.0,27.12,98.45,2.7
2015,2,1,30.64,10.34,0.0,28.19,98.39,2.6
2015,2,2,31.48,11.13,0.0,34.56,98.41,3.32
2015,2,3,32.26,12.12,0.0,40.38,98.63,2.88
2015,2,4,32.62,14.23,0.0,36.31,98.57,2.31
2015,2,5,31.57,15.27,0.0,43.19,98.42,2.98
2015,2,6,31.62,14.9,0.0,41.5,98.37,2.77
2015,2,7,32.0,15.83,0.0,40.56,98.25,3.44
2015,2,8,32.2,16.08,0.43,43.31,98.16,3.61
2015,2,9,29.33,18.18,0.04,44.0,98.36,3.07
2015,2,10,31.37,17.78,2.21,44.62,98.43,3.09
2015,2,11,31.87,16.95,1.7,51.62,98.25,2.84
2015,2,12,31.26,17.62,0.11,51.75,98.14,2.77
2015,2,13,32.66,15.84,0.0,38.88,98.06,3.24
2015,2,14,33.61,12.81,0.0,29.38,97.99,2.21
2015,2,15,35.15,17.87,0.0,25.81,97.93,2.44
2015,2,16,34.92,15.12,0.0,28.94,98.09,3.22
2015,2,17,34.98,15.05,0.0,25.62,97.94,2.24
2015,2,18,35.43,16.84,0.0,21.81,97.81,1.5
2015,2,19,34.25,15.69,0.0,29.12,97.97,2.82
2015,2,20,34.84,17.51,0.0,29.94,98.05,2.11
2015,2,21,34.59,17.69,2.09,30.19,98.09,1.43
2015,2,22,36.03,16.93,0.0,28.38,98.11,2.69
2015,2,23,35.73,16.74,0.0,26.56,98.13,1.66
2015,2,24,36.38,16.73,0.0,24.69,97.96,1.8
2015,2,25,36.87,18.55,0.0,23.62,97.75,2.35
2015,2,26,36.24,18.08,0.0,25.0,97.59,3.55
2015,2,27,35.17,18.27,0.0,28.0,97.67,2.05
2015,2,28,34.94,19.15,7.37,34.62,97.74,3.95
2015,3,1,29.94,19.94,6.5,67.38,97.8,2.49
2015,3,2,27.18,19.76,21.41,72.31,98.01,3.14
2015,3,3,29.29,17.39,0.13,59.5,97.98,2.98
2015,3,4,29.57,13.15,0.0,44.5,98.05,3.42
2015,3,5,31.3,13.01,0.0,45.06,98.17,2.25
2015,3,6,32.34,14.79,0.0,45.38,98.24,2.05
2015,3,7,33.17,15.54,0.0,43.0,98.12,1.84
2015,3,8,34.02,16.48,0.0,43.25,98.12,1.84
2015,3,9,32.36,18.44,2.53,51.94,98.3,1.93
2015,3,10,34.22,17.83,0.05,50.38,98.32,2.41
2015,3,11,34.07,17.43,0.0,50.31,98.31,2.95
2015,3,12,34.4,18.6,2.27,48.88,98.31,2.09
2015,3,13,35.58,19.76,0.0,44.81,98.16,1.43
2015,3,14,35.01,19.32,0.79,47.12,98.16,1.94
2015,3,15,35.44,18.87,2.51,47.44,98.1,3.42
2015,3,16,32.34,20.87,5.28,57.5,98.19,2.14
2015,3,17,34.21,21.4,0.02,56.38,98.08,1.61
2015,3,18,35.13,18.39,0.0,46.31,97.92,3.41
2015,3,19,36.01,17.42,0.0,40.94,98.04,3.09
2015,3,20,36.69,17.94,0.0,34.62,98.12,3.13
2015,3,21,37.97,18.87,0.0,30.94,98.16,2.74
2015,3,22,39.26,19.71,0.0,30.69,97.99,1.86
2015,3,23,39.88,21.22,0.0,29.69,97.74,1.74
2015,3,24,40.09,21.91,0.0,29.75,97.74,3.88
2015,3,25,40.12,21.52,0.0,22.25,97.83,3.17
2015,3,26,40.86,20.51,0.0,20.5,97.95,2.45
2015,3,27,39.98,21.81,0.08,25.75,97.96,1.88
2015,3,28,40.26,23.68,0.37,29.75,97.79,2.39
2015,3,29,37.04,25.06,3.81,37.5,97.68,3.09
2015,3,30,32.12,24.41,0.33,47.62,97.82,1.94
2015,3,31,38.37,22.02,0.0,41.06,97.76,2.29
2015,4,1,39.8,24.67,0.0,29.81,97.62,2.53
2015,4,2,40.69,21.33,0.0,20.06,97.48,2.98
2015,4,3,40.79,22.85,0.0,23.56,97.36,3.94
2015,4,4,40.12,23.45,0.0,20.94,97.24,4.95
2015,4,5,39.01,22.48,0.0,28.0,97.35,3.62
2015,4,6,39.65,23.76,0.0,25.62,97.4,2.64
2015,4,7,40.3,23.54,0.15,28.19,97.44,2.43
2015,4,8,38.58,26.49,0.27,35.94,97.63,3.52
2015,4,9,39.15,25.82,14.84,41.81,97.69,3.08
2015,4,10,38.51,22.92,1.01,50.94,97.69,2.84
2015,4,11,35.4,24.5,2.96,56.62,97.81,3.08
2015,4,12,29.83,21.44,0.65,63.19,98.11,2.72
2015,4,13,28.64,20.76,10.24,68.38,98.11,2.09
2015,4,14,30.68,19.74,12.84,63.31,97.98,2.27
2015,4,15,30.3,20.98,0.98,62.88,98.07,1.91
2015,4,16,34.49,20.48,0.01,55.31,98.13,1.63
2015,4,17,37.26,21.82,0.0,49.19,97.77,2.39
2015,4,18,41.12,22.15,0.0,46.56,97.38,3.83
2015,4,19,41.19,23.36,0.0,43.62,97.43,3.48
2015,4,20,42.01,23.93,0.0,41.62,97.55,3.59
2015,4,21,42.15,24.51,0.0,37.25,97.51,3.79
2015,4,22,42.45,27.4,0.01,30.38,97.37,4.7
2015,4,23,40.07,27.27,0.01,28.56,97.45,3.92
2015,4,24,41.62,26.14,0.15,20.56,97.45,3.93
2015,4,25,42.34,24.43,0.02,30.69,97.36,3.62
2015,4,26,41.09,25.67,0.68,35.0,97.52,4.62
2015,4,27,43.05,25.37,0.43,35.81,97.51,3.98
2015,4,28,44.75,26.15,0.27,25.38,97.33,3.7
2015,4,29,44.4,26.7,0.0,20.12,97.22,4.21
2015,4,30,43.74,26.61,0.0,22.0,97.37,1.72
2015,5,1,44.12,25.65,0.0,19.56,97.35,2.53
2015,5,2,43.55,26.7,0.04,20.62,97.32,1.1
2015,5,3,43.06,27.95,0.07,24.62,97.39,3.28
2015,5,4,41.76,28.48,4.43,35.25,97.53,4.09
2015,5,5,41.95,27.88,0.0,34.94,97.49,3.95
2015,5,6,42.88,27.63,0.0,26.62,97.33,3.7
2015,5,7,44.32,27.36,0.0,22.5,97.37,3.8
2015,5,8,44.79,26.97,0.0,17.94,97.25,2.02
2015,5,9,42.98,29.2,0.0,20.38,97.16,2.27
2015,5,10,40.41,28.73,0.0,27.38,97.31,2.48
2015,5,11,42.11,28.45,0.19,31.0,97.45,3.11
2015,5,12,41.9,29.17,0.06,34.19,97.45,4.77
2015,5,13,41.89,30.49,0.08,28.56,97.38,3.57
2015,5,14,40.4,29.66,0.35,32.31,97.54,1.33
2015,5,15,36.15,27.57,20.82,47.38,97.62,1.55
2015,5,16,38.22,25.31,6.26,58.06,97.39,2.34
2015,5,17,40.05,24.98,0.0,51.19,97.1,3.38
2015,5,18,42.11,26.1,0.0,46.88,97.01,2.91
2015,5,19,45.32,26.71,0.0,37.44,96.94,3.45
2015,5,20,45.94,28.12,0.0,30.19,97.01,5.02
2015,5,21,46.38,27.74,0.0,25.38,97.03,4.68
2015,5,22,46.23,29.29,0.0,22.62,96.96,5.35
2015,5,23,45.55,30.83,0.0,18.62,96.93,7.26
2015,5,24,45.31,29.79,0.0,24.31,97.04,6.24
2015,5,25,45.61,30.14,0.34,25.94,97.02,6.8
2015,5,26,45.31,30.83,0.0,25.0,97.08,5.59
2015,5,27,46.59,31.4,0.29,23.06,97.01,5.88
2015,5,28,46.46,31.16,0.0,19.81,96.92,4.51
2015,5,29,46.89,32.38,0.05,21.44,96.94,5.16
2015,5,30,47.49,33.06,0.0,20.0,96.97,3.58
2015,5,31,46.33,32.33,0.01,21.69,96.92,2.47
2015,6,1,41.65,31.04,0.44,37.31,97.03,5.02
2015,6,2,42.08,30.05,1.76,34.81,97.14,2.45
2015,6,3,42.79,29.62,0.03,31.25,97.14,2.28
2015,6,4,42.17,32.14,0.01,31.38,97.16,2.61
2015,6,5,41.6,32.03,0.67,34.56,97.24,2.09
2015,6,6,44.05,30.43,3.45,34.62,97.06,2.91
2015,6,7,41.08,28.48,3.14,45.19,97.07,3.2
2015,6,8,41.66,29.3,0.0,39.0,97.09,4.88
2015,6,9,42.16,30.36,0.0,34.88,97.08,5.6
2015,6,10,43.11,31.12,0.03,32.94,97.01,4.48
2015,6,11,40.63,31.94,2.2,39.62,97.06,3.02
2015,6,12,33.31,28.1,8.02,63.75,97.19,1.47
